source,relation,target,value,unit,metadata,source_file
Pralsetinib,inhibits,RET - ret proto-oncogene (human),0.3,nM,IC50 (AID: 1934929),Bioactivity
Pralsetinib,inhibits,CCDC6 - coiled-coil domain containing 6 (human),0.4,nM,IC50 (AID: 1895760),Bioactivity
Pralsetinib,inhibits,Proto-oncogene tyrosine-protein kinase receptor Ret (human),0.4,nM,IC50 (AID: 2091116),Bioactivity
Pralsetinib,inhibits,Tyrosine-protein kinase JAK2 (human),2.0,nM,IC50 (AID: 1776972),Bioactivity
Pralsetinib,inhibits,KIF5B - kinesin family member 5B (human),4.0,nM,GI50 (AID: 1704858),Bioactivity
Pralsetinib,inhibits,FLT3 - fms related receptor tyrosine kinase 3 (human),6.5,nM,IC50 (AID: 1776973),Bioactivity
Pralsetinib,inhibits,KDR - kinase insert domain receptor (human),35.0,nM,IC50 (AID: 1895759),Bioactivity
Pralsetinib,inhibits,RET,Active,,Proto-oncogene c-Ret (RET),ConsolidatedTargets
Pralsetinib,targets,RET,Active,,RET,ConsolidatedTargets
Pralsetinib,inhibits,PTK2B,Active,,PTK2B,ConsolidatedTargets
Pralsetinib,targets,EML4,Active,,EML4,ConsolidatedTargets
Pralsetinib,inhibits,KIF5B,Active,,KIF5B,ConsolidatedTargets
Pralsetinib,inhibits,KDR,Active,,kinase insert domain receptor,ConsolidatedTargets
Pralsetinib,inhibits,DRD2,Active,,DRD2,ConsolidatedTargets
Pralsetinib,targets,HRAS,Active,,HRAS,ConsolidatedTargets
Pralsetinib,inhibits,CCDC6,Active,,CCDC6,ConsolidatedTargets
Pralsetinib,co_occurs_with_chemical,Selpercatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Cabozantinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Vandetanib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,L-Tyrosine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,2-Amino-4-chloropyridine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Lenvatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Entrectinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Larotrectinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Dabrafenib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Osimertinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"Pemetrexed, (R)-",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Crizotinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Platinum,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Trametinib Dimethyl Sulfoxide,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Sorafenib Tosylate,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Lorlatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Alectinib Hydrochloride,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Capmatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,"diammine[cyclobutane-1,1-dicarboxylato(2-)-k2O1,O1]platinum",Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Brigatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Erlotinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Sunitinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Calcitonin,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Afatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Paclitaxel,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Ponatinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Vemurafenib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Selumetinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,azane;dichloroplatinum,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Gemcitabine,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Tepotinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,GlyTouCan:G91391XS,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Ceritinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Repotrectinib,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
Pralsetinib,co_occurs_with_chemical,Docetaxel,Co-occurrence,Text Mining,PubChem Neighbor,C:/Users/suchi/dsc180/DSC180B-B23-Knowledge-Graph-and-Biomedical-Ontology/data/Chemical_Co-Occurrences-in-Literature_CID_129073603.json
