id,type
Pralsetinib,Drug
RET - ret proto-oncogene (human),Protein
CCDC6 - coiled-coil domain containing 6 (human),Protein
Proto-oncogene tyrosine-protein kinase receptor Ret (human),Protein
Tyrosine-protein kinase JAK2 (human),Protein
KIF5B - kinesin family member 5B (human),Protein
FLT3 - fms related receptor tyrosine kinase 3 (human),Protein
KDR - kinase insert domain receptor (human),Protein
RET,Gene/Protein
PTK2B,Gene/Protein
EML4,Gene/Protein
KIF5B,Gene/Protein
KDR,Gene/Protein
DRD2,Gene/Protein
HRAS,Gene/Protein
CCDC6,Gene/Protein
Locally Advanced Thyroid Gland Carcinoma,Disease
Solid Tumor,Disease
Advanced Solid Tumor,Disease
Metastatic Cancer,Disease
Advanced Unresectable or Metastatic Solid Malignancy,Disease
Thyroid Neoplasms,Disease
Lung Cancer Stage III,Disease
Mutation,Disease
Non-Small Cell Lung Cancer,Disease
Medullary Thyroid Cancer,Disease
Solid Tumors,Disease
RET-fusion Non Small Cell Lung Cancer,Disease
Lung Neoplasm,Disease
"Carcinoma, Non-Small-Cell Lung",Disease
Respiratory Tract Neoplasms,Disease
Thoracic Neoplasms,Disease
Neoplasms by Site,Disease
Neoplasms,Disease
Lung Diseases,Disease
Respiratory Tract Disease,Disease
"Carcinoma, Bronchogenic",Disease
Bronchial Diseases,Disease
Head and Neck Neoplasms,Disease
Adenocarcinoma,Disease
Carcinoma,Disease
Neoplasms by Histologic Type,Disease
"Neoplasms, Germ Cell and Embryonal",Disease
"Neoplasms, Nerve Tissue",Disease
RET-altered Non Small Cell Lung Cancer,Disease
RET-altered Papillary Thyroid Cancer,Disease
RET-altered Colon Cancer,Disease
RET-altered Solid Tumors,Disease
Thyroid Diseases,Disease
Thyroid Neoplasm,Disease
"Thyroid Cancer, Papillary",Disease
"Carcinoma, Neuroendocrine",Disease
Bronchial Neoplasms,Disease
Endocrine System Diseases,Disease
Endocrine Gland Neoplasm,Disease
"Adenocarcinoma, Papillary",Disease
"Neoplasms, Glandular and Epithelial",Disease
Neuroendocrine Tumors,Disease
Neuroectodermal Tumors,Disease
Colonic Neoplasms,Disease
Colorectal Neoplasms,Disease
Intestinal Neoplasms,Disease
Gastrointestinal Neoplasms,Disease
Digestive System Neoplasm,Disease
Digestive System Disease,Disease
Gastrointestinal Disease,Disease
Colonic Diseases,Disease
Intestinal Disease,Disease
Breast Cancer,Disease
Gastrointestinal Cancer,Disease
Non Small Cell Lung Cancer,Disease
Other Cancer,Disease
Non-small Cell Lung Cancer,Disease
neoplasm,Disease
medullary thyroid gland carcinoma,Disease
cancer,Disease
thyroid carcinoma,Disease
non-small cell lung carcinoma,Disease
Selpercatinib,Chemical
Cabozantinib,Chemical
Vandetanib,Chemical
L-Tyrosine,Chemical
2-Amino-4-chloropyridine,Chemical
Lenvatinib,Chemical
Entrectinib,Chemical
Larotrectinib,Chemical
Dabrafenib,Chemical
Osimertinib,Chemical
"Pemetrexed, (R)-",Chemical
Crizotinib,Chemical
Platinum,Chemical
Trametinib Dimethyl Sulfoxide,Chemical
Sorafenib Tosylate,Chemical
Lorlatinib,Chemical
Alectinib Hydrochloride,Chemical
Capmatinib,Chemical
"diammine[cyclobutane-1,1-dicarboxylato(2-)-k2O1,O1]platinum",Chemical
Brigatinib,Chemical
Erlotinib,Chemical
Sunitinib,Chemical
Calcitonin,Chemical
Afatinib,Chemical
Paclitaxel,Chemical
