protein_id,outcome_id,outcome_type,outcome_name,evidence,source
CCDC6 - coiled-coil domain containing 6 (human),Acute Lung Injury,Disease,Acute Lung Injury,MESH:D055371,CTD
CCDC6 - coiled-coil domain containing 6 (human),Adenocarcinoma,Disease,Adenocarcinoma,MESH:D000230,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Adenocarcinoma, Bronchiolo-Alveolar",Disease,"Adenocarcinoma, Bronchiolo-Alveolar",MESH:D002282,CTD
CCDC6 - coiled-coil domain containing 6 (human),Adenocarcinoma of Lung,Disease,Adenocarcinoma of Lung,MESH:D000077192,CTD
CCDC6 - coiled-coil domain containing 6 (human),Adrenal Cortex Diseases,Disease,Adrenal Cortex Diseases,MESH:D000303,CTD
CCDC6 - coiled-coil domain containing 6 (human),Adrenal Gland Diseases,Disease,Adrenal Gland Diseases,MESH:D000307,CTD
CCDC6 - coiled-coil domain containing 6 (human),Adrenal Gland Neoplasms,Disease,Adrenal Gland Neoplasms,MESH:D000310,CTD
CCDC6 - coiled-coil domain containing 6 (human),Adrenocortical Carcinoma,Disease,Adrenocortical Carcinoma,MESH:D018268,CTD
CCDC6 - coiled-coil domain containing 6 (human),Anemia,Disease,Anemia,MESH:D000740,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Aplastic",Disease,"Anemia, Aplastic",MESH:D000741,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Hemolytic",Disease,"Anemia, Hemolytic",MESH:D000743,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Hemolytic, Autoimmune",Disease,"Anemia, Hemolytic, Autoimmune",MESH:D000744,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Hypochromic",Disease,"Anemia, Hypochromic",MESH:D000747,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Iron-Deficiency",Disease,"Anemia, Iron-Deficiency",MESH:D018798,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Macrocytic",Disease,"Anemia, Macrocytic",MESH:D000748,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Megaloblastic",Disease,"Anemia, Megaloblastic",MESH:D000749,CTD
CCDC6 - coiled-coil domain containing 6 (human),"Anemia, Sickle Cell",Disease,"Anemia, Sickle Cell",MESH:D000755,CTD
