Bioactivity_ID,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Cell_ID,Anatomy,dois,pmcids,pclids,citations,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,AidType,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity,Activity_Value,Taxonomy_ID,Target_Taxonomy_ID,Anatomy_ID
383928371,P07949,IC50,=,ChEMBL,Inhibition of human RET V804L mutant,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.2c01361,,35285560,"Zhou Y, Xiang S, Yang F, Lu X. Targeting Gatekeeper Mutations for Kinase Drug Discovery. J Med Chem. 2022 Dec 08;65(23):15540–58. doi: 10.1021/acs.jmedchem.2c01361. PMID: 36395392.",1934929,440200762,129073603,483927624,5979,36395392,Confirmatory,20240503,0,0,Active,0.000300,9606,,
381488208,P07949,IC50,=,ChEMBL,Inhibition of recombinant RET V804L (unknown origin) incubated for 120 mins by Perkin Elmer electrophoretic mobility shift platform method,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.0c02167,PMC9697126,21703593,"Saha D, Ryan KR, Lakkaniga NR, Acharya B, Garcia NG, Smith EL, Frett B. Targeting Rearranged during Transfection in Cancer: A Perspective on Small-Molecule Inhibitors and Their Clinical Development. J. Med. Chem. 2021 Aug 17;64(16):11747–73. doi: 10.1021/acs.jmedchem.0c02167.",1895756,482048853,129073603,,5979,34402300,Confirmatory,20230629,0,0,Active,0.000300,9606,,
383928134,P07949,IC50,=,ChEMBL,Inhibition of human RET V804M mutant,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.2c01361,,35285560,"Zhou Y, Xiang S, Yang F, Lu X. Targeting Gatekeeper Mutations for Kinase Drug Discovery. J Med Chem. 2022 Dec 08;65(23):15540–58. doi: 10.1021/acs.jmedchem.2c01361. PMID: 36395392.",1934930,440200762,129073603,483927624,5979,36395392,Confirmatory,20240503,0,0,Active,0.000400,9606,,
383928178,P07949,IC50,=,ChEMBL,Inhibition of human wild type RET,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.2c01361,,35285560,"Zhou Y, Xiang S, Yang F, Lu X. Targeting Gatekeeper Mutations for Kinase Drug Discovery. J Med Chem. 2022 Dec 08;65(23):15540–58. doi: 10.1021/acs.jmedchem.2c01361. PMID: 36395392.",1934928,440200762,129073603,483927624,5979,36395392,Confirmatory,20240503,0,0,Active,0.000400,9606,,
381488324,,IC50,=,ChEMBL,Inhibition of recombinant RET V804M (unknown origin) incubated for 120 mins by Perkin Elmer electrophoretic mobility shift platform method,Pralsetinib,,,,,,,10.1021/acs.jmedchem.0c02167,PMC9697126,21703593,"Saha D, Ryan KR, Lakkaniga NR, Acharya B, Garcia NG, Smith EL, Frett B. Targeting Rearranged during Transfection in Cancer: A Perspective on Small-Molecule Inhibitors and Their Clinical Development. J. Med. Chem. 2021 Aug 17;64(16):11747–73. doi: 10.1021/acs.jmedchem.0c02167.",1895757,482048853,129073603,,,34402300,Confirmatory,20230629,0,0,Active,0.000400,,,
381488344,Q16204,IC50,=,ChEMBL,Inhibition of recombinant CCDC6-RET (unknown origin) incubated for 120 mins by Perkin Elmer electrophoretic mobility shift platform method,Pralsetinib,CCDC6 - coiled-coil domain containing 6 (human),/gene/8030,,Q16204,,,10.1021/acs.jmedchem.0c02167,PMC9697126,21703593,"Saha D, Ryan KR, Lakkaniga NR, Acharya B, Garcia NG, Smith EL, Frett B. Targeting Rearranged during Transfection in Cancer: A Perspective on Small-Molecule Inhibitors and Their Clinical Development. J. Med. Chem. 2021 Aug 17;64(16):11747–73. doi: 10.1021/acs.jmedchem.0c02167.",1895760,482048853,129073603,,8030,34402300,Confirmatory,20230629,0,0,Active,0.000400,9606,,
381488141,P07949,IC50,=,ChEMBL,Inhibition of recombinant RET M918T (unknown origin) incubated for 120 mins by Perkin Elmer electrophoretic mobility shift platform method,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.0c02167,PMC9697126,21703593,"Saha D, Ryan KR, Lakkaniga NR, Acharya B, Garcia NG, Smith EL, Frett B. Targeting Rearranged during Transfection in Cancer: A Perspective on Small-Molecule Inhibitors and Their Clinical Development. J. Med. Chem. 2021 Aug 17;64(16):11747–73. doi: 10.1021/acs.jmedchem.0c02167.",1895758,482048853,129073603,,5979,34402300,Confirmatory,20230629,0,0,Active,0.000400,9606,,
381488189,P07949,IC50,=,ChEMBL,Inhibition of wildtype RET (unknown origin) incubated for 120 mins by Perkin Elmer electrophoretic mobility shift platform method,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.0c02167,PMC9697126,21703593,"Saha D, Ryan KR, Lakkaniga NR, Acharya B, Garcia NG, Smith EL, Frett B. Targeting Rearranged during Transfection in Cancer: A Perspective on Small-Molecule Inhibitors and Their Clinical Development. J. Med. Chem. 2021 Aug 17;64(16):11747–73. doi: 10.1021/acs.jmedchem.0c02167.",1895755,482048853,129073603,,5979,34402300,Confirmatory,20230629,0,0,Active,0.000400,9606,,
381488345,P07949,IC50,=,ChEMBL,Inhibition of recombinant CCDC6-RET (unknown origin) incubated for 120 mins by Perkin Elmer electrophoretic mobility shift platform method,Pralsetinib,RET - ret proto-oncogene (human),/gene/5979,2.7.10.1,P07949,,,10.1021/acs.jmedchem.0c02167,PMC9697126,21703593,"Saha D, Ryan KR, Lakkaniga NR, Acharya B, Garcia NG, Smith EL, Frett B. Targeting Rearranged during Transfection in Cancer: A Perspective on Small-Molecule Inhibitors and Their Clinical Development. J. Med. Chem. 2021 Aug 17;64(16):11747–73. doi: 10.1021/acs.jmedchem.0c02167.",1895760,482048853,129073603,,5979,34402300,Confirmatory,20230629,0,0,Active,0.000400,9606,,
389414544,P07949,IC50,=,ChEMBL,"Inhibition of His-tagged human recombinant wild type RET M918T mutant expressed in Sf9 cells using poly(Glu, Tyr) peptide as substrate in presence of ATP preincubated fo4 30 mins followed by substrate addition and measured after 1 hr by FRET analysis",Pralsetinib,Proto-oncogene tyrosine-protein kinase receptor Ret (human),/protein/P07949,2.7.10.1,P07949,,,10.1021/acs.jmedchem.3c02319,,36935859,"Wang ZX, Li QQ, Cai J, Wu JZ, Wang JJ, Zhang MY, Wang QX, Tong ZJ, Yang J, Wei TH, Zhou Y, Dai WC, Ding N, Leng XJ, Sun SL, Xue X, Yu YC, Yang Y, Li NG, Shi ZH. Unraveling the Promise of RET Inhibitors in Precision Cancer Therapy by Targeting RET Mutations. J Med Chem. 2024 Mar 28;67(6):4346–75. doi: 10.1021/acs.jmedchem.3c02319. PMID: 38484122.",2091116,440200762,129073603,483927624,,38484122,Confirmatory,20251125,0,0,Active,0.000400,9606,,
