gid,CTID,Linked_Compound_CID,Link,Title,Conditions,Interventions,Phase,Status,Date,PubChem_Disease_ID
,NCT06482086,3081361|46188928|45139106|216239|6442177|9823820|25017411|25102847|129073603|25191001|44462760|11707110|25141092,https://clinicaltrials.gov/ct2/show/NCT06482086,Efficacy of Organoid-Based Drug Screening to Guide Treatment for Locally Advanced Thyroid Cancer,Locally Advanced Thyroid Gland Carcinoma,Larotrectinib,Phase 2,Recruiting,20241205,
,NCT05525858,176870|42611257|49806720|129073603|25141092,https://clinicaltrials.gov/ct2/show/NCT05525858,KPMNG Study of MOlecular Profiling Guided Therapy Based on Genomic Alterations in Advanced Solid Tumors II,Solid Tumor|Advanced Solid Tumor|Metastatic Cancer,Pralsetinib,,Recruiting,20250427,
,NCT04632992,36314|124173720|49806720|129073603|51039094|24788740|25141092,https://clinicaltrials.gov/ct2/show/NCT04632992,A Study Evaluating Targeted Therapies in Participants Who Have Advanced Solid Tumors With Genomic Alterations or Protein Expression Patterns Predictive of Response,Advanced Unresectable or Metastatic Solid Malignancy,Pralsetinib,Phase 2,Completed,20250108,
,NCT07010393,134436906|46188928|9823820|25017411|25102847|44462760|11707110|129073603,https://clinicaltrials.gov/ct2/show/NCT07010393,Genotype-Driven Neoadjuvant Therapy for Locally Advanced Thyroid Cancer: A Real-World Cohort Study,Thyroid Neoplasms,Bemosuzumab,Phase 4,Not yet recruiting,20250608,
,NCT06563999,46188928|51039030|157827766|56960363|68289010|139377809|11626560|44462760|11707110|129073603,https://clinicaltrials.gov/ct2/show/NCT06563999,Neoadjuvant Umbrella Trial for Patients With Unresectable Stage III NSCLC Harboring Rare Mutations.,Lung Cancer Stage III|Mutation,Ensartinib,Phase 2,Recruiting,20241210,
,NCT04204928,129073603,https://clinicaltrials.gov/ct2/show/NCT04204928,Pre-Approval Access Program (PAAP) for Pralsetinib (BLU-667) in Patients With Unresectable or Metastatic NSCLC or MTC,Non-Small Cell Lung Cancer|Medullary Thyroid Cancer,pralsetinib (BLU-667),,Approved for marketing,20210813,
,NCT04589845,156487652|124173720|49806720|146624881|129073603|89655386|24788740|25141092,https://clinicaltrials.gov/ct2/show/NCT04589845,Tumor-agnostic Precision Immuno-oncology and Somatic Targeting Rational for You (TAPISTRY) Platform Study,Solid Tumors,Camonsertib,Phase 2,Recruiting,20260109,
,NCT04760288,3081361|25102847|129073603,https://clinicaltrials.gov/ct2/show/NCT04760288,A Study of Pralsetinib Versus Standard of Care (SOC) for Treatment of RET-Mutated Medullary Thyroid Cancer (MTC).,Medullary Thyroid Cancer,Vandetanib,Phase 3,Withdrawn,20240105,
,NCT04222972,36314|135410875|5460033|5702198|426756|10339178|129073603|60750,https://clinicaltrials.gov/ct2/show/NCT04222972,A Study of Pralsetinib Versus Standard of Care for First-Line Treatment of Advanced Non-Small Cell Lung Cancer (NSCLC),"RET-fusion Non Small Cell Lung Cancer|Lung Neoplasm|Carcinoma, Non-Small-Cell Lung|Respiratory Tract Neoplasms|Thoracic Neoplasms|Neoplasms by Site|Neoplasms|Lung Diseases|Respiratory Tract Disease|Carcinoma, Bronchogenic|Bronchial Diseases|Head and Neck Neoplasms|Adenocarcinoma|Carcinoma|Neoplasms by Histologic Type|Neoplasms, Germ Cell and Embryonal|Neoplasms, Nerve Tissue",Nab-Paclitaxel,Phase 3,Completed,20250206,
,NCT03037385,129073603,https://clinicaltrials.gov/ct2/show/NCT03037385,"Phase 1/2 Study of the Highly-selective RET Inhibitor, Pralsetinib (BLU-667), in Participants With Thyroid Cancer, Non-Small Cell Lung Cancer, and Other Advanced Solid Tumors","RET-altered Non Small Cell Lung Cancer|Medullary Thyroid Cancer|RET-altered Papillary Thyroid Cancer|RET-altered Colon Cancer|RET-altered Solid Tumors|Lung Neoplasm|Carcinoma, Non-Small-Cell Lung|Thyroid Diseases|Thyroid Neoplasm|Thyroid Cancer, Papillary|Carcinoma, Neuroendocrine|Respiratory Tract Neoplasms|Thoracic Neoplasms|Neoplasms by Site|Neoplasms|Lung Diseases|Respiratory Tract Disease|Carcinoma, Bronchogenic|Bronchial Neoplasms|Endocrine System Diseases|Endocrine Gland Neoplasm|Head and Neck Neoplasms|Adenocarcinoma, Papillary|Adenocarcinoma|Carcinoma|Neoplasms, Glandular and Epithelial|Neoplasms by Histologic Type|Neuroendocrine Tumors|Neuroectodermal Tumors|Neoplasms, Germ Cell and Embryonal|Neoplasms, Nerve Tissue|Colonic Neoplasms|Colorectal Neoplasms|Intestinal Neoplasms|Gastrointestinal Neoplasms|Digestive System Neoplasm|Digestive System Disease|Gastrointestinal Disease|Colonic Diseases|Intestinal Disease",pralsetinib (BLU-667),Phase 1/Phase 2,Completed,20250531,7306|1544|8607|7168
,NCT04591431,86705695|134436906|176870|42611257|6442177|208908|135565082|24826799|53380437|68165256|49806720|16222096|56649450|129073603|5330286|25171648|24788740|25141092,https://clinicaltrials.gov/ct2/show/NCT04591431,The Rome Trial From Histology to Target: the Road to Personalize Target Therapy and Immunotherapy,Breast Cancer|Gastrointestinal Cancer|Non Small Cell Lung Cancer|Other Cancer,Alpelisib,Phase 2,Unknown status,20231003,
,NCT04302025,42611257|49806720|16222096|146624881|129073603|25141092,https://clinicaltrials.gov/ct2/show/NCT04302025,A Study of Multiple Therapies in Biomarker-selected Participants With Resectable Stages IB-III Non-small Cell Lung Cancer (NSCLC),Non-small Cell Lung Cancer,Divarasib,Phase 2,Recruiting,20260112,
