PubChem_Literature_ID_(PCLID),PMCID,DOI,PMID_(All),DOI_(All),PubChem_Data_Source,Publication_Type,Title,Abstract,Publication_Name,Author(s),Author_Affiliation(s),Language,Subject,URL,Image_used_as_thumbnail,Keywords,Citation,PubChem_CID,PubChem_SID,PubChem_AID,PubChem_Concept_ID,PubChem_Protein,PubChem_Gene,PubChem_Taxonomy,PubChem_Target_Taxonomy,PubChem_Pathway,PubChem_Pathway,PubChem_Cell,cellaccs,PubChem_Disease,PubChem_Reference_SID,PMID,Publication_Date
39141314,PMC12288196,10.1186/s40364-025-00809-8,40702584,10.1186/s40364-025-00809-8,Springer Nature,Journal Article,Multiple ctDNA- based biomarkers predict benefit from selective RET Inhibition in non-small cell lung cancer patients: exploratory analysis of a prospective study,"Abstract: Selective RET inhibitors such as pralsetinib have become the standard of care for patients with RET fusion-positive non-small cell lung cancer (NSCLC). Serial analysis of circulating tumor DNA (ctDNA) has proven effective in monitoring disease control/progression and therapeutic response in NSCLC. In this prospective study, we analyzed longitudinal ctDNA profiles (at baseline, week 8, and at progression) in Chinese patients with advanced RET fusion-positive NSCLC treated with pralsetinib (NCT03037385), utilizing allele frequency-based, cfDNA quantity-normalized, and methylation-based metrics. Associations between ctDNA dynamics, tumor response, and genomic alterations were assessed. A total of 21 patients were enrolled. Baseline PIK3CA co-mutations were associated with inferior progression-free survival (PFS; 3.0 vs. 12.4 months, P < 0.001). Superior PFS was observed in patients with lower baseline ctDNA levels across all metrics: allele frequency-based (HR = 0.24; 95% confidence interval [CI], 0.07–0.80; P = 0.012), cfDNA quantity-normalized (HR = 0.20; 95% CI, 0.05–0.71; P = 0.006), and methylation-based (HR = 0.09; 95% CI, 0.01–0.85; P = 0.010). Early ctDNA clearance at the first radiographic assessment was also associated with prolonged PFS (median PFS not reached vs. 4.8 months; P = 0.002) and enhanced disease control (71.4% vs. 0%). Moreover, three distinct ctDNA dynamic profiles—clearance-rebound, reduction-rebound, and sustained clearance—were associated with different progression patterns (systemic progression, new extrathoracic lesions, new intracranial/intrathoracic lesions). No evidence of histologic transformation was identified at the time of progression. KRAS G12R and other non-canonical alterations emerged in ctDNA-rebound samples. Molecular progression preceded radiographic progression by a mean interval of 2.2 months. These findings suggest that ctDNA-based surveillance using multiple metrics, enables early forecasting of tumor response and progression in RET fusion-positive NSCLC. Early ctDNA clearance and dynamic profiles provide non-invasive biomarkers for early intervention, warranting further validation with ctDNA-guided strategies.",Biomarker Research,"Chang Lu, Chong-Rui Xu, Yi-Chen Zhang, E-E Ke, Yue-Li Sun, Xiao-Yan Bai, Zhi-Hong Chen, Jian Su, Yu Deng, Ting Hou, Fei Zhao, Min Li, Bin-Chao Wang, Hai-Yan Tu, Zhen Wang, Xu-Chao Zhang, Hua-Jun Chen, Jin-Ji Yang, Wen-Zhao Zhong, Qing Zhou, Yi-Long Wu",,English,Biomedical and Life Sciences,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288196,,"Circulating tumor DNA, Non-small-cell lung cancer, Pralsetinib, RET, Tyrosine kinase inhibitor","Lu C, Xu CR, Zhang YC, Ke EE, Sun YL, Bai XY, Chen ZH, Su J, Deng Y, Hou T, Zhao F, Li M, Wang BC, Tu HY, Wang Z, Zhang XC, Chen HJ, Yang JJ, Zhong WZ, Zhou Q, Wu YL. Multiple ctDNA- based biomarkers predict benefit from selective RET Inhibition in non-small cell lung cancer patients: exploratory analysis of a prospective study. Biomark Res. 2025 Jul 23;13(1):98. PMID: 40702584; PMCID: PMC12288196.",129073603,438790727,,,,,,,,,,,,483927624,40702584,20250723
39119712,,10.1038/d41573-025-00123-w,40681930,10.1038/d41573-025-00123-w,Springer Nature,Journal Article,The non-small-cell lung cancer drug market,,Nature reviews. Drug discovery,"Charlotte B. Jago, Rachel M. Webster",,English,Biomedicine,https://pubmed.ncbi.nlm.nih.gov/40681930,,,"Jago CB, Webster RM. The non-small-cell lung cancer drug market. Nat Rev Drug Discov. 2025 Nov;24(11):822–3. doi: 10.1038/d41573-025-00123-w. PMID: 40681930.",10288191|11626560|25141092|25145656|25171648|44462760|50922675|50992434|53239799|71496458|71731823|121269225|129073603|134436906|135565923,341142581|341142599|341143321|341147833|341189492|341191038|341412949|341487865|354700360|375571330|375895803|378125454|438790353|438790727|438790728,,,,,,,,,,,,483927077|483927624|483927683|483928205|483928261|483928281|483928292|483928326|483928345|483928396|483928418|483928543|483928975|500822294|505794397,40681930,20250718
776812680,,10.1186/s42047-025-00177-5,,10.1186/s42047-025-00177-5,Springer Nature,Journal Article,A panorama of lung cancer biomarkers,"Abstract: Although lung cancer has the highest incidence and mortality rates in the general population, survival rates have progressively improved over the past 50 years. One contributing factor is the identification of actionable biomarkers through routine molecular profiling and immunohistochemistry, which has been linked to improvements in both overall survival and disease-free survival. Major guidelines recommend the use of comprehensive molecular panels that include genes such as EGFR, KRAS, BRAF, ERBB2, MET (exon 14 skipping and amplification), ALK, ROS1, RET, and NTRK1/2/3 fusions, along with PD-L1 immunoexpression, in tissue specimens or liquid biopsy for patients with stage IV non-small cell lung cancer. Additionally, antibody–drug conjugates are emerging as a new therapeutic alternative alongside existing treatments. This review provides an overview of biomarkers currently in routine use and under development, and examines their impact on prognosis.",Surgical and Experimental Pathology,"Ana Sofia Silva Mesquita, Maire Iumi Maeda, Juliana Cabral Duarte Brandão, Nicolle Cavalcante Gaglionone, Igor Campos da Silva, Milena Perez Mak, Ellen Caroline Toledo do Nascimento",,English,Medicine,https://doi.org/10.1186/s42047-025-00177-5,,,"Mesquita ASS, Maeda MI, Brandão JCD, Gaglionone NC, da Silva IC, Mak MP, do Nascimento ECT. A panorama of lung cancer biomarkers. Surg Exp Pathol. 2025 Jul 10;8(1). doi: 10.1186/s42047-025-00177-5.",9999|10184653|11626560|25141092|46188928|57379345|71496458|71731823|121269225|129073603|129103609|134436906|135565923,341139251|341142624|341143321|341143361|341412949|341487865|354348795|354700360|378125454|438790353|438790439|438790727|438790728,,,,,,,,,,,,483927077|483927281|483927445|483927624|483927683|483928210|483928292|483928543|483928975|500822294|500825745|505794397,,20250710
38984784,,10.1007/s11030-025-11260-0,40549292,10.1007/s11030-025-11260-0,Springer Nature,Journal Article|Review,Pyrazole in drug development: a medicinal-chemistry based analysis of USFDA-approved drugs in last decade,"Among the diversity of existing heterocycles, nitrogen-containing heterocycles, i.e., azaheterocycles, are the most popular entity in drug discovery. In the present review, we have focused on the structural diversity of pyrazole in drug discovery and the critical analysis of approved drugs bearing this versatile pharmacophore in the past decade (2014-2023). The investigation of the USFDA-approved drug-bearing pyrazole scaffold revealed that a total of 20 drugs were approved during the period of analysis. The bifurcation of approved drugs led us to conclude that nine drugs (45%) were to treat cancer, followed by four drugs for rare genetic diseases, three for treating infection, two for neurological conditions, and one for rheumatoid arthritis and glaucoma, respectively. The investigation also revealed that the majority of drugs (65%) were indicated to be used in rare forms of cancer and diseases. Besides this, the review also highlighted that 53% of approved drugs were launched in tablet form, and 80% of these drugs were intended to be given by oral route. The drug metabolism analysis revealed that 25% of approved drugs undergo Phase 1 metabolism via CYP3A4, followed by the combined involvement of CYP3A4 and CYP2C9 for 10% of approved drugs. The drugs are chiefly excreted via the fecal route (12) and the urine (7). The structural diversity revealed that the majority of pyrazole drugs comprised a pyridine ring (7) in conjugation. At the same time, fluorine was the key halogen substituent, and amine was the major non-halogenated substituent in the approved drugs. The review is, therefore, a congregated effort to not only compile and update the USFDA-approved drugs containing pyrazole but also explore their in-depth medicinal chemistry-based analysis to enrich the medicinal chemist and allied sciences researchers for their comprehensive read.",Molecular Diversity,"Nisha Bansal, Elagandhula Sathish, M. Arockia Babu, Ganesh Bushi, Abhay M. Gaidhane, Thakur Gurjeet Singh, Damini Singh, Glowi Alasiri, Mohammad Fareed, Bhupinder Kumar",,English,Biomedical and Life Sciences,https://pubmed.ncbi.nlm.nih.gov/40549292,,"Drug design, Drug discovery, Excretion, Metabolism, Pharmacokinetics, Pyrazole, Synthesis","Bansal N, Sathish E, Babu MA, Bushi G, Gaidhane AM, Singh TG, Singh D, Alasiri G, Fareed M, Kumar B. Pyrazole in drug development: a medicinal-chemistry based analysis of USFDA-approved drugs in last decade. Mol Divers. 2025 Jun 23;(). doi: 10.1007/s11030-025-11260-0. PMID: 40549292.",241|974|1048|2206|3111|3242|4021|4781|4837|5202|5335|7978|8082|8393|9256|9260|9321|16013|31268|59757|65564|68706|104850|119630|3016733|9908684|10295295|11626560|21116448|25181577|44205240|46209133|46843057|50922675|52918380|67171867|67462786|71602803|71731823|72165228|86294073|118023034|129073603|134587348|135565884|137234703|137528262,341139025|341139156|341139206|341139218|341139516|341139637|341140036|341140170|341141105|341141175|341142003|341142030|341142421|341143321|341143568|341145332|341146986|341147556|341148563|341153699|341154229|341160945|341162015|341162535|341168205|341169414|341172991|341185305|341186630|341194989|341307780|341414403|341687976|341709783|341744937|354343703|354700360|375571330|375580810|375580846|375739001|375973499|438790653|438790727|438790760|439595373|441434782,,,,,,,,,,,,481107483|481107484|481107523|481107526|481107529|481107727|481107783|481107833|481107959|483924516|483925880|483927077|483927202|483927580|483927624|483927676|483927683|483927836|483927925|483928022|483928212|483928214|483928418|483928427|483928563|483928588|483929129|500753476|500767686|500779908|500792876|500797411|500812237|500820874|504687706|505428834|505460939|505586672|505852687|505887107|505893578|505895498|516574970,40549292,20250623
775355263,,10.1007/s40278-025-83905-8,,10.1007/s40278-025-83905-8,Springer Nature,Journal Article,Pralsetinib,,Reactions Weekly,,,English,Medicine,https://doi.org/10.1007/s40278-025-83905-8,,,Pralsetinib. Reactions Weekly. 2025 Jun 07;2062(1):290. doi: 10.1007/s40278-025-83905-8.,2764|5329|5394|5578|36294|36462|38904|60953|123630|5280980|5329102|6604563|23623919|129073603,341139105|341139549|341139586|341139681|341139896|341140159|341140195|341140298|341140647|341140650|341141611|341141709|341141895|438790727,,,,,,,,,,,,481107035|481107652|481107667|481107720|481107752|481107842|483926366|483926977|483927056|483927624|483927712|504687745|505887131|516575220,,20250607
38921930,PMC12142907,10.1186/s13063-025-08909-4,40474212,10.1186/s13063-025-08909-4,Springer Nature,Journal Article,Reporting quality of dose-expansion cohorts in trials of anticancer drugs could be improved: a cross-sectional study,"BACKGROUND: Dose-expansion cohort (DEC) has been increasingly used as the pivotal trial to demonstrate preliminary efficacy and safety of target anticancer drugs. We aimed to investigate the reporting quality in the published articles of DECs. METHODS: We retrospectively identified the published articles of DEC pivotal trials of the FDA-approved targeted anticancer drugs between Jan 1st, 2012 and March 31st, 2023. All published articles were evaluated by using the CONSORT Dose-finding Extension (CONSORT-DEFINE) guidance. RESULTS: Forty-one articles on DEC trials were identified, of which 32 (78.0%) were published in journals with a high impact factor (≥ 50). The median proportion of adequately reported items in the evaluated 41 articles was 83.7% (with an interquartile range of 79.1% to 88.4%). Inadequacies were observed in several areas of DEC trial reporting. Specifically, planned cohort size (item 3a8), dose modification and discontinuation (item 5b), sample size calculation (item 7a), interim analysis (item 7b), adjusted analyses (item 12b) for efficacy endpoints, data monitoring (item 26), safety review committee (item 26a), and the role of funders (item 25) were mentioned in only 4 (9.8%), 17 (41.5%), 30 (73.2%), 14 (34.1%), 30 (73.2%), 6 (14.6%), 4 (9.8%), and 12 (29.3%) articles, respectively. Additionally, inconsistencies were noted in the definition of DEC across different articles, revealing irregular naming methods being used. CONCLUSIONS: Despite being published in high-impact journals, DEC pivotal trials were inadequately reported. There is still a need to improve the completeness and transparency in reporting DEC trials to facilitate external review and evaluation of the DEC evidence.",Trials,"Yafang Huang, Jinjia Zhong, Ting Zhu",,English,"Humans; Neoplasms*/drug therapy; Sample Size; Retrospective Studies; Dose-Response Relationship, Drug; Cross-Sectional Studies; Medicine; Research Design*/standards; Treatment Outcome; Clinical Trials as Topic*/standards/methods; Antineoplastic Agents*/administration & dosage/adverse effects",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12142907,,"CONSORT Dose-finding Extension (CONSORT-DEFINE), Dose-expansion cohort (DEC), Reporting quality","Huang Y, Zhong J, Zhu T. Reporting quality of dose-expansion cohorts in trials of anticancer drugs could be improved: a cross-sectional study. Trials. 2025 Jun 05;26(1):198. PMID: 40474212; PMCID: PMC12142907.",71496458|71731823|72950888|129073603,341487865|354700360|375580906|438790727,,,,,,,,,,,,483927077|483927624|483928543|483928605,40474212,20250605
38892276,PMC12150609,10.1080/14796694.2025.2508132,40458063,10.1080/14796694.2025.2508132,PubChem,Journal Article|Comparative Study,Matching-adjusted indirect comparison of selpercatinib and pralsetinib in RET fusion–positive non–small cell lung cancer,"AIMS: Selpercatinib and pralsetinib are approved for RET-rearranged non - small cell lung cancer. MATERIALS & METHODS: Efficacy and safety were compared using matching-adjusted indirect comparison. RESULTS: Median progression-free survival (PFS) was 22.1 and 13.3 months for selpercatinib and pralsetinib, respectively (HR = 0.67; 95% CI, 0.53-0.85). Objective response rate was 64.5% and 65.8%, and disease control rate was 92.1% and 90.4%, respectively. Median overall survival was not reached for selpercatinib and 43.9 months for pralsetinib (HR = 0.81; 95% CI, 0.60-1.09). Grade ≥ 3 treatment-related adverse events (TRAEs) were reported in 39.3% and 62.6% of patients, with discontinuations due to TRAEs in 3.6% and 10.0% of patients, respectively. CONCLUSION: Outcomes were similar; however, PFS was significantly prolonged with selpercatinib, with fewer grade ≥ 3 TRAEs.","Future oncology (London, England)","Maximilian Hochmair, Urpo Kiiskinen, Yulia D’yachkova, Tarun Puri, Xuwen Wang, Sorrel Wolowacz, Adrian Vickers, Ernest Nadal","Karl Landsteiner Institute of Lung Research & Pulmonary Oncology Eli Lilly and Company; International Value and Access, Eli Lilly and Company, Helsinki, Finland Statistics, Eli Lilly and Company, Vienna, Austria Thoracic Oncology Global Medical Affairs, Eli Lilly and Company, Gurgaon, Haryana, India Real World Advanced Analysis, Eli Lilly & Company, Indianapolis, IN, USA RTI Health Solutions Institut Català d’Oncologia (ICO), L’Hospitalet de Llobregat; L’Hospitalet de Llobregat",English,"Pyrazoles*/therapeutic use/adverse effects/administration & dosage; Pyridines*/therapeutic use/adverse effects/administration & dosage; Humans; Progression-Free Survival; Lung Neoplasms*/drug therapy/mortality/genetics/pathology; Male; Treatment Outcome; Aged; Pyrrolidines*/therapeutic use/adverse effects/administration & dosage; Female; Oncogene Proteins, Fusion*/genetics; Proto-Oncogene Proteins c-ret*/genetics; Carcinoma, Non-Small-Cell Lung*/drug therapy/genetics/mortality/pathology; Protein Kinase Inhibitors*/therapeutic use/adverse effects/administration & dosage; Pyrimidines*/adverse effects/therapeutic use/administration & dosage; Middle Aged; Adult",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12150609,,"NSCLC, RET inhibitor, matching-adjusted indirect comparison, pralsetinib, selpercatinib","Hochmair M, Kiiskinen U, D’yachkova Y, Puri T, Wang X, Wolowacz S, Vickers A, Nadal E. Matching-adjusted indirect comparison of selpercatinib and pralsetinib in <i>RET</i> fusion–positive non–small cell lung cancer. Future Oncology. 2025 Jun 03;21(15):1867–78. doi: 10.1080/14796694.2025.2508132.",581866|10176084|129073603|134436906,,,,,,,,,,,,,,40458063,20250603
38843277,PMC12096543,10.1186/s13046-025-03392-w,40405293,10.1186/s13046-025-03392-w,PubChem|Springer Nature,Journal Article,AP1-mediated reprogramming of EGFR expression triggers resistance to BLU-667 and LOXO-292 in RET-rearranged tumors,"Abstract: Background: Non-small cell lung cancer (NSCLC) is a significant global health challenge, with 2% of cases fuelled by RET rearrangements. RET inhibitors (RETi) have revolutionized treatment for these patients, but resistance remains an important clinical challenge limiting therapy effectiveness. This study investigated the mechanisms underlying resistance to RETi. Methods: NSCLC cells were exposed to increasing doses of RETi (pralsetinib/BLU-667 and selpercatinib/LOXO-292) to generate resistant cells. RNA-Sequencing analysis identified differentially expressed genes in resistant versus sensitive cells, followed by in vitro and in vivo functional assays to explore novel therapeutic strategies. Additionally, tumor biopsies from RET-rearranged NSCLC patients who exhibited cancer progression on RET inhibitor therapy were analyzed. Results: RNA-sequencing analysis revealed the upregulation of the EGFR signaling pathway and hyperactivation of AP1 complex members in resistant cells compared to sensitive cells. Silencing of EGFR and AP1 complex members significantly reversed drug resistance, whereas EGFR overexpression reduced the sensitivity of parental Lc2/AD cells to RET inhibitors. Furthermore, the combination of RET and EGFR inhibitors showed synergistic antitumor activity in vitro and hindered tumor growth in mouse models with resistant cell xenografts. Notably, we observed a significant increase in EGFR expression in tumor biopsies from NSCLC patients treated with RET inhibitors who experienced disease progression, further validating the clinical relevance of our findings. Conclusions: This study elucidates EGFR's role in mediating resistance to RET inhibitors in NSCLC patients. These findings offer insights into therapeutic adaptation and explore personalized combinations of RET and EGFR inhibitors for improved clinical outcomes.",Journal of experimental & clinical cancer research : CR,"Daniela Esposito, Claudia Maria Ascione, Stefania Belli, Fabiana Napolitano, Alberto Servetto, Felice Pepe, Umberto Malapelle, Antonino Iaccarino, Giancarlo Troncone, Diletta Barone, Emilio Bria, Roberto Ferrara, Daniele Lorenzini, Giuseppe Lo Russo, Maria Rosa Ghigna, Arianna Marinello, Mihaela Aldea, Benjamin Besse, Luigi Formisano, Roberto Bianco",,English,"Mice; Lung Neoplasms*/genetics/drug therapy/pathology/metabolism; Protein Kinase Inhibitors/pharmacology; Biomedical and Life Sciences; Transcription Factor AP-1*/metabolism/genetics; Carcinoma, Non-Small-Cell Lung*/genetics/drug therapy/pathology/metabolism; Humans; ErbB Receptors/genetics/metabolism; Female; Gene Expression Regulation, Neoplastic; Drug Resistance, Neoplasm*; Proto-Oncogene Proteins c-ret*/genetics/antagonists & inhibitors; Pyrazoles/pharmacology; Xenograft Model Antitumor Assays; Animals; Cell Line, Tumor; Gene Rearrangement",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12096543,,"Combination targeted therapy, Drug resistance, EGFR, Non-small cell lung cancer, RET, RET inhibitors","Esposito D, Ascione CM, Belli S, Napolitano F, Servetto A, Pepe F, Malapelle U, Iaccarino A, Troncone G, Barone D, Bria E, Ferrara R, Lorenzini D, Lo Russo G, Ghigna MR, Marinello A, Aldea M, Besse B, Formisano L, Bianco R. AP1-mediated reprogramming of EGFR expression triggers resistance to BLU-667 and LOXO-292 in RET-rearranged tumors. J Exp Clin Cancer Res. 2025 May 22;44(1):154. PMID: 40405293; PMCID: PMC12096543.",313|679|2954|5234|6049|6503|104981|111063|176870|3423265|10184653|71496458|129073603|134436906|171361397,341138820|341139227|341139682|341139818|341139861|341140401|341140775|341141347|341142624|341142691|341143202|341487865|438790727|438790728,,,,,,,,,,,,481107139|481107985|483927281|483927624|483928543|483928975|500819826|505883583,40405293,20250522
775675085,,10.1007/s44272-025-00036-0,,10.1007/s44272-025-00036-0,Springer Nature,Journal Article,Guideline of precisional testing in intrahepatic cholangiocarcinoma: an international expert consensus,"Abstract: Intrahepatic cholangiocarcinoma (ICC) is a highly heterogeneous tumor. Molecular profiling serves as the foundation for personalized treatment of ICC. Comprehensive molecular testing is needed to identify more patients that are suitable for specific targeted therapies. This consensus is based on clinical data from both domestic and international sources, tailored to the Chinese context, and focuses on key targets for ICC. We present 15 recommendations aimed at guiding the precision detection of ICC.",Clinical Cancer Bulletin,"Xin Zhang, Jing Han, Ruoyu Shi, Bing Yu, Xuchen Zhang, Bin Li, Xia Sheng, Zengshan Li, Yining Zou, Huichuan Sun, Guoming Shi, Hanlin L. Wang, Jian Zhou, Jia Fan, Wenming Cong, Yuan Ji",,English,Medicine,https://doi.org/10.1007/s44272-025-00036-0,,,"Zhang X, Han J, Shi R, Yu B, Zhang X, Li B, Sheng X, Li Z, Zou Y, Sun H, Shi G, Wang HL, Zhou J, Fan J, Cong W, Ji Y. Guideline of precisional testing in intrahepatic cholangiocarcinoma: an international expert consensus. Clin. Cancer Bull. 2025 May 20;4(1). doi: 10.1007/s44272-025-00036-0.",25141092|44462760|46188928|50992434|71621331|71657455|86705695|129073603|134436906|135565923,341142581|341142599|341412949|354340311|354348795|378125447|438790353|438790548|438790727|438790728,,,,,,,,,,,,483927344|483927445|483927624|483928026|483928261|483928292|483928326|483928604|483928975|500822294,,20250520
775318391,,10.1007/s40278-025-82883-5,,10.1007/s40278-025-82883-5,Springer Nature,Journal Article,Pralsetinib,,Reactions Weekly,,,English,Medicine,https://doi.org/10.1007/s40278-025-82883-5,,,Pralsetinib. Reactions Weekly. 2025 May 17;2059(1):327. doi: 10.1007/s40278-025-82883-5.,129073603,438790727,,,,,,,,,,,,483927624,,20250517
